"TPR","TNR","FDR","F1","MCC","alpha_bias","fp_bias","MSE_theta","exact_match","method","rep","scenario"
1,1,0,1,1,0.144095180555741,0,0.0428528642068901,1,"mcp",16,"S01_base"
1,0.795454545454545,0.6,0.571428571428571,0.564076074817766,0.226943235130839,0.00206887004662771,0.0129833090462972,0,"lasso",16,"S01_base"
1,0.772727272727273,0.625,0.545454545454545,0.538305421923955,0.269451830765176,0.00188255344315717,0.0159789113112809,0,"enet",16,"S01_base"
1,0.977272727272727,0.142857142857143,0.923076923076923,0.915238951128249,0.147505985563779,8.43477758157084e-05,0.00805723340463566,0,"scad_pool",16,"S01_base"
1,1,0,1,1,0.144095180555741,0,0.00790190223012068,1,"mcp_pool",16,"S01_base"
1,0.977272727272727,0.142857142857143,0.923076923076923,0.915238951128249,0.0527349465121689,6.60042057653868e-06,0.0602830696911009,0,"scad",17,"S01_base"
1,1,0,1,1,0.0527412413019461,0,0.0604981364743899,1,"mcp",17,"S01_base"
1,0.704545454545455,0.684210526315789,0.48,0.471686377031934,0.20010110604799,0.00480770871194344,0.0140034686669307,0,"lasso",17,"S01_base"
1,0.545454545454545,0.769230769230769,0.375,0.35478743759345,0.185090838306063,0.0114752756995733,0.0134555275438021,0,"enet",17,"S01_base"
1,0.977272727272727,0.142857142857143,0.923076923076923,0.915238951128249,0.0527349465121689,6.60042057653868e-06,0.00716874236428964,0,"scad_pool",17,"S01_base"
1,1,0,1,1,0.0527416636298172,0,0.00717023898118458,1,"mcp_pool",17,"S01_base"
1,0.818181818181818,0.571428571428571,0.6,0.592156525463792,0.0946202278754209,0.00341536641832663,0.0421307390112285,0,"scad",18,"S01_base"
1,1,0,1,1,0.0980119763435116,0,0.0424997027922734,1,"mcp",18,"S01_base"
1,0.727272727272727,0.666666666666667,0.5,0.492365963917331,0.204306109515816,0.00618399984477152,0.0113082174443244,0,"lasso",18,"S01_base"
1,0.818181818181818,0.571428571428571,0.6,0.592156525463792,0.273603884869504,0.00406504705152539,0.0153062809793527,0,"enet",18,"S01_base"
1,0.931818181818182,0.333333333333333,0.8,0.788170109311512,0.0970855021999498,0.000613906576276887,0.00746633742940439,0,"scad_pool",18,"S01_base"
1,1,0,1,1,0.098013478627353,0,0.00748199560756737,1,"mcp_pool",18,"S01_base"
1,0.977272727272727,0.142857142857143,0.923076923076923,0.915238951128249,0.102442423853493,0.000688820791617552,0.0375042096467338,0,"scad",19,"S01_base"
1,0.977272727272727,0.142857142857143,0.923076923076923,0.915238951128249,0.102676867847933,0.000507871054865352,0.0374615384935346,0,"mcp",19,"S01_base"
1,0.909090909090909,0.4,0.75,0.738548945875996,0.227400655658085,0.00277658763251964,0.0169407125531897,0,"lasso",19,"S01_base"
1,0.909090909090909,0.4,0.75,0.738548945875996,0.269548175521819,0.00287204634750499,0.0201177909045791,0,"enet",19,"S01_base"
1,0.977272727272727,0.142857142857143,0.923076923076923,0.915238951128249,0.102442423853493,0.000688820791617552,0.0108779584921137,0,"scad_pool",19,"S01_base"
1,0.977272727272727,0.142857142857143,0.923076923076923,0.915238951128249,0.102676867847933,0.000507871054865352,0.0108755871569258,0,"mcp_pool",19,"S01_base"
1,0.886363636363636,0.454545454545455,0.705882352941177,0.695320842762652,0.179054812318546,0.00310999129123944,0.0307648834290549,0,"scad",20,"S01_base"
1,0.909090909090909,0.4,0.75,0.738548945875996,0.17643477727399,0.00394254277206733,0.0297517454344791,0,"mcp",20,"S01_base"
1,0.613636363636364,0.739130434782609,0.413793103448276,0.400098802026948,0.264887463101034,0.0110852480377651,0.014637693913664,0,"lasso",20,"S01_base"
1,0.613636363636364,0.739130434782609,0.413793103448276,0.400098802026948,0.274300171328384,0.0129509123018301,0.0152687498337208,0,"enet",20,"S01_base"
1,0.909090909090909,0.4,0.75,0.738548945875996,0.18405691290627,0.00270248699180406,0.0109321243894277,0,"scad_pool",20,"S01_base"
1,0.909090909090909,0.4,0.75,0.738548945875996,0.17643477727399,0.00394254277206733,0.01084163173347,0,"mcp_pool",20,"S01_base"
1,0.977272727272727,0.142857142857143,0.923076923076923,0.915238951128249,0.123735637491842,0.000409903761770174,0.0400498594664878,0,"scad",21,"S01_base"
1,1,0,1,1,0.126584296053434,0,0.039900582599726,1,"mcp",21,"S01_base"
1,0.886363636363636,0.454545454545455,0.705882352941177,0.695320842762652,0.288568244125758,0.00204291150009625,0.0147357360853777,0,"lasso",21,"S01_base"
1,0.886363636363636,0.454545454545455,0.705882352941177,0.695320842762652,0.332430505437362,0.00192170769933476,0.017513853228948,0,"enet",21,"S01_base"
1,0.977272727272727,0.142857142857143,0.923076923076923,0.915238951128249,0.123735637491842,0.000409903761770174,0.00927021777685761,0,"scad_pool",21,"S01_base"
1,1,0,1,1,0.126584296053434,0,0.00929155516314484,1,"mcp_pool",21,"S01_base"
1,0.75,0.647058823529412,0.521739130434783,0.514495755427526,0.0947179668946538,0.00529819020459096,0.0409203317458354,0,"scad",22,"S01_base"
1,0.977272727272727,0.142857142857143,0.923076923076923,0.915238951128249,0.110764128963048,0.0004898199998707,0.0384472404827641,0,"mcp",22,"S01_base"
1,0.590909090909091,0.75,0.4,0.384353057392904,0.157831072953129,0.0102248326536219,0.00904333206613042,0,"lasso",22,"S01_base"
1,0.681818181818182,0.7,0.461538461538462,0.452267016866645,0.233501140560844,0.00667850377495016,0.0131779407299424,0,"enet",22,"S01_base"
1,0.818181818181818,0.571428571428571,0.6,0.592156525463792,0.104751338804962,0.00193169291327945,0.00613144729220522,0,"scad_pool",22,"S01_base"
1,0.909090909090909,0.4,0.75,0.738548945875996,0.0958887419390323,0.00172367016437901,0.005937188094074,0,"mcp_pool",22,"S01_base"
1,0.931818181818182,0.333333333333333,0.8,0.788170109311512,0.106412269245661,0.000992162128411024,0.047663465189877,0,"scad",23,"S01_base"
1,0.977272727272727,0.142857142857143,0.923076923076923,0.915238951128249,0.106971795910824,0.000246190649548336,0.0467617822388869,0,"mcp",23,"S01_base"
